Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.05     0.00      265     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      0.05     0.00      265     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      0.05     0.00      255     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      0.05     0.00      255     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      0.05     0.00      255     0.00     0.00  std::allocator<double>::allocator()
  0.00      0.05     0.00      255     0.00     0.00  std::allocator<double>::allocator()
  0.00      0.05     0.00      255     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      0.05     0.00      255     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      0.05     0.00      255     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      0.05     0.00      255     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00      0.05     0.00      254     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00      0.05     0.00      254     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.05     0.00      254     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      0.05     0.00      254     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.05     0.00      254     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00      0.05     0.00      254     0.00     0.00  std::vector<double, std::allocator<double> >::resize(unsigned long)
  0.00      0.05     0.00      254     0.00     0.00  _ZSt10__fill_n_aIPdmdEN9__gnu_cxx11__enable_ifIXsr3std11__is_scalarIT1_EE7__valueET_E6__typeES4_T0_RKS3_
  0.00      0.05     0.00      254     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  0.00      0.05     0.00      254     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00      0.05     0.00      254     0.00     0.00  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      0.05     0.00      254     0.00     0.00  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  0.00      0.05     0.00      254     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.05     0.00      254     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00      0.05     0.00      254     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      0.05     0.00      254     0.00     0.00  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      0.05     0.00      254     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.05     0.00      168     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.05     0.00      168     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.05     0.00      168     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.05     0.00      168     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.05     0.00      168     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.05     0.00      168     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.05     0.00      168     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.05     0.00      168     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.05     0.00      168     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.05     0.00      168     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.05     0.00      168     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.05     0.00      168     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.05     0.00      168     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.05     0.00      168     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.05     0.00      168     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.05     0.00      145     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.05     0.00      145     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.05     0.00      145     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.05     0.00      145     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.05     0.00      145     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.05     0.00      145     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.05     0.00      145     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
